ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-01,22602.358640000002,11584.418460857465,14502.429856135508,22602.358640000002,22602.358640000002,-9531.498174159438,-9531.498174159438,-9531.498174159438,-1994.8450708646853,-1994.8450708646853,-1994.8450708646853,-7536.653103294753,-7536.653103294753,-7536.653103294753,0.0,0.0,0.0,13070.860465840564
2013-01-02,22590.701108966576,11703.728770120984,14553.92069825903,22590.701108966576,22590.701108966576,-9495.03394471475,-9495.03394471475,-9495.03394471475,-1927.7129660400744,-1927.7129660400744,-1927.7129660400744,-7567.320978674677,-7567.320978674677,-7567.320978674677,0.0,0.0,0.0,13095.667164251825
2013-01-03,22579.043577933153,13259.043146928576,16260.98937888932,22579.043577933153,22579.043577933153,-7858.48782159529,-7858.48782159529,-7858.48782159529,-254.51525719715562,-254.51525719715562,-254.51525719715562,-7603.972564398136,-7603.972564398136,-7603.972564398136,0.0,0.0,0.0,14720.555756337862
2013-01-04,22567.386046899726,14905.637449225394,17916.829372562446,22567.386046899726,22567.386046899726,-6187.08667137076,-6187.08667137076,-6187.08667137076,1458.3054393324624,1458.3054393324624,1458.3054393324624,-7645.392110703222,-7645.392110703222,-7645.392110703222,0.0,0.0,0.0,16380.299375528966
2013-01-05,22555.728515866303,16574.73234613139,19552.410549412078,22555.728515866303,22555.728515866303,-4483.287296051393,-4483.287296051393,-4483.287296051393,3206.8993420953,3206.8993420953,3206.8993420953,-7690.186638146693,-7690.186638146693,-7690.186638146693,0.0,0.0,0.0,18072.44121981491
2013-01-06,22544.070984832877,18257.737959729962,21111.31520880699,22544.070984832877,22544.070984832877,-2793.7411405406137,-2793.7411405406137,-2793.7411405406137,4943.097724828578,4943.097724828578,4943.097724828578,-7736.838865369193,-7736.838865369193,-7736.838865369193,0.0,0.0,0.0,19750.329844292264
2013-01-07,22532.413453799454,7717.534402308134,10764.623868806038,22532.413453799454,22532.413453799454,-13214.990428947465,-13214.990428947465,-13214.990428947465,-5431.229212136917,-5431.229212136917,-5431.229212136917,-7783.761216810548,-7783.761216810548,-7783.761216810548,0.0,0.0,0.0,9317.423024851989
2013-01-08,22520.755922766028,11212.287753156594,14073.187908675081,22520.755922766028,22520.755922766028,-9824.194413435785,-9824.194413435785,-9824.194413435785,-1994.8450708644464,-1994.8450708644464,-1994.8450708644464,-7829.3493425713405,-7829.3493425713405,-7829.3493425713405,0.0,0.0,0.0,12696.561509330242
2013-01-09,22509.09839173261,11189.915628543373,14194.960385896218,22509.09839173261,22509.09839173261,-9799.74661048086,-9799.74661048086,-9799.74661048086,-1927.7129660488222,-1927.7129660488222,-1927.7129660488222,-7872.033644432039,-7872.033644432039,-7872.033644432039,0.0,0.0,0.0,12709.351781251748
2013-01-10,22497.44086069918,12824.49201330599,15755.468163147825,22497.44086069918,22497.44086069918,-8164.842661512751,-8164.842661512751,-8164.842661512751,-254.51525720107387,-254.51525720107387,-254.51525720107387,-7910.327404311677,-7910.327404311677,-7910.327404311677,0.0,0.0,0.0,14332.598199186428
2013-01-11,22485.78332966576,14489.683944096503,17467.646335886588,22485.78332966576,22485.78332966576,-6484.564811160913,-6484.564811160913,-6484.564811160913,1458.3054393235257,1458.3054393235257,1458.3054393235257,-7942.87025048444,-7942.87025048444,-7942.87025048444,0.0,0.0,0.0,16001.218518504846
2013-01-12,22474.125798632333,16271.025506894837,19271.850463248822,22474.125798632333,22474.125798632333,-4761.566525917828,-4761.566525917828,-4761.566525917828,3206.8993420897077,3206.8993420897077,3206.8993420897077,-7968.465868007535,-7968.465868007535,-7968.465868007535,0.0,0.0,0.0,17712.559272714505
2013-01-13,22462.468267598906,17894.526931446042,20872.527134573847,22462.468267598906,22462.468267598906,-3043.01533271339,-3043.01533271339,-3043.01533271339,4943.097724837153,4943.097724837153,4943.097724837153,-7986.113057550543,-7986.113057550543,-7986.113057550543,0.0,0.0,0.0,19419.452934885518
2013-01-14,22450.810736565483,7537.879704043179,10573.297093379802,22450.810736565483,22450.810736565483,-13426.258677194992,-13426.258677194992,-13426.258677194992,-5431.229212130788,-5431.229212130788,-5431.229212130788,-7995.0294650642045,-7995.0294650642045,-7995.0294650642045,0.0,0.0,0.0,9024.552059370491
2013-01-15,22439.153205532057,10930.785427150427,13899.276745105006,22439.153205532057,22439.153205532057,-9989.512607718627,-9989.512607718627,-9989.512607718627,-1994.8450708642083,-1994.8450708642083,-1994.8450708642083,-7994.667536854417,-7994.667536854417,-7994.667536854417,0.0,0.0,0.0,12449.64059781343
2013-01-16,22427.495674498634,11030.113236909363,14002.885139715001,22427.495674498634,22427.495674498634,-9912.4354598476,-9912.4354598476,-9912.4354598476,-1927.712966057569,-1927.712966057569,-1927.712966057569,-7984.722493790031,-7984.722493790031,-7984.722493790031,0.0,0.0,0.0,12515.060214651034
2013-01-17,22415.838143465207,12645.229284913306,15737.271087381047,22415.838143465207,22415.838143465207,-8219.647614820644,-8219.647614820644,-8219.647614820644,-254.51525720499203,-254.51525720499203,-254.51525720499203,-7965.132357615652,-7965.132357615652,-7965.132357615652,0.0,0.0,0.0,14196.190528644564
2013-01-18,22404.18061243178,14436.742529205567,17355.83364042137,22404.18061243178,22404.18061243178,-6477.764855520947,-6477.764855520947,-6477.764855520947,1458.3054393372938,1458.3054393372938,1458.3054393372938,-7936.070294858241,-7936.070294858241,-7936.070294858241,0.0,0.0,0.0,15926.415756910834
2013-01-19,22392.523081398358,16107.744605537018,19126.865788882318,22392.523081398358,22392.523081398358,-4691.030420979901,-4691.030420979901,-4691.030420979901,3206.8993420888146,3206.8993420888146,3206.8993420888146,-7897.929763068715,-7897.929763068715,-7897.929763068715,0.0,0.0,0.0,17701.49266041846
2013-01-20,22380.86555036493,18016.141137131854,20935.031190558027,22380.86555036493,22380.86555036493,-2908.205419326765,-2908.205419326765,-2908.205419326765,4943.0977248286845,4943.0977248286845,4943.0977248286845,-7851.303144155449,-7851.303144155449,-7851.303144155449,0.0,0.0,0.0,19472.660131038167
2013-01-21,22369.20801933151,7747.496001502424,10611.489154263461,22369.20801933151,22369.20801933151,-13228.18393707703,-13228.18393707703,-13228.18393707703,-5431.229212133789,-5431.229212133789,-5431.229212133789,-7796.9547249432435,-7796.9547249432435,-7796.9547249432435,0.0,0.0,0.0,9141.024082254478
2013-01-22,22357.550488298086,11195.436152455313,14154.752325091618,22357.550488298086,22357.550488298086,-9730.634102144579,-9730.634102144579,-9730.634102144579,-1994.8450708559055,-1994.8450708559055,-1994.8450708559055,-7735.789031288673,-7735.789031288673,-7735.789031288673,0.0,0.0,0.0,12626.916386153507
2013-01-23,22345.89295726466,11195.995375585959,14117.67204401458,22345.89295726466,22345.89295726466,-9596.528601523596,-9596.528601523596,-9596.528601523596,-1927.7129660570433,-1927.7129660570433,-1927.7129660570433,-7668.815635466552,-7668.815635466552,-7668.815635466552,0.0,0.0,0.0,12749.364355741063
2013-01-24,22334.235426231236,13026.009356621813,16052.079521611133,22334.235426231236,22334.235426231236,-7851.626891645037,-7851.626891645037,-7851.626891645037,-254.5152572069211,-254.5152572069211,-254.5152572069211,-7597.111634438116,-7597.111634438116,-7597.111634438116,0.0,0.0,0.0,14482.6085345862
